Perfume;Brand;Gender;Rating Value;Rating Count;Year;Top;Middle;Base;mainaccord1;mainaccord2;mainaccord3;mainaccord4;mainaccord5
accento-overdose-pride-edition;xerjoff;unisex;1,42;201;2022;fruity notes, aldehydes, green notes;bulgarian rose, egyptian jasmine, lily-of-the-valley;eucalyptus, pine;rose;woody;fruity;aromatic;floral
classique-pride-2024;jean-paul-gaultier;women;1,86;70;2024;yuzu, citruses;orange blossom, neroli;musk, blonde woods;citrus;white floral;sweet;fresh;musky
classique-pride-2023;jean-paul-gaultier;unisex;1,91;285;2023;blood orange, yuzu;neroli, orange blossom;musk, white woods;citrus;white floral;sweet;fresh spicy;musky
pride-edition-man;bruno-banani;men;1,92;59;2019;guarana, grapefruit, red apple;walnut, lavender, guava;vetiver, benzoin, amber;fruity;nutty;woody;tropical;
le-male-pride-collector;jean-paul-gaultier;men;1,93;632;2020;mint, lavender, cardamom, artemisia, bergamot;caraway, cinnamon, orange blossom;vanilla, sandalwood, amber, cedar, tonka bean;aromatic;warm spicy;fresh spicy;cinnamon;vanilla
le-male-pride-2023;jean-paul-gaultier;men;1,95;531;2023;yuzu, blood orange;neroli, orange blossom;musk, white woods;citrus;white floral;sweet;fresh spicy;green
le-male-pride-2024;jean-paul-gaultier;men;1,95;285;2024;citruses, yuzu;neroli, orange blossom;woodsy notes, musk;white floral;citrus;fresh;soapy;
polo-red-pride-edition;ralph-lauren;men;2,05;107;2020;cranberry, pink grapefruit, citron;clary sage, lavender, saffron;amberwood, brazilian redwood, coffee;woody;amber;citrus;warm spicy;aromatic
ralph-pride-edition;ralph-lauren;women;2,12;50;2020;tangerine, green apple, freesia;magnolia, lime (linden blossom), osmanthus;musk, white iris;citrus;fruity;floral;sweet;green
waffle;we-pink;women;2,41;27;2023;strawberry, almond, raspberry;butter, peach blossom, violet;praline, vanilla, musk;powdery;musky;violet;fruity;fresh
le-male-pride-edition;jean-paul-gaultier;men;2,53;662;2022;blood orange, yuzu;neroli, orange blossom;musk, white woods;citrus;white floral;fresh spicy;sweet;musky
rouge-imperiale;vivamor-parfums;unisex;2,62;26;2023;saffron, bulgarian rose;australian sandalwood, iris, jasmine;suede, bourbon vanilla, texas cedar;leather;warm spicy;rose;powdery;metallic
french-kiss;bybozo;women;2,65;26;2023;lemon verbena, neroli;fig, corn, magnolia, saffron, barberry, cherry blossom;pear wood, meringue, amber;fruity;woody;sweet;floral;citrus
erba-oud;sospiro-perfumes;unisex;2,66;65;2022;orange, bergamot, lemon;melon, saffron, peach, apple;agarwood (oud), leather, vanilla, amber, white musk;citrus;oud;fruity;leather;sweet
glamour-gold-glam;o-boticario;women;2,69;118;2022;raspberry, neroli, bergamot;jasmine, orange blossom, tuberose;clearwood, amber, sandalwood, patchouli, cistus incanus;woody;white floral;fruity;sweet;amber
visionair-midnight-blue;michael-malul-london;men;2,71;42;2020;watermelon, lavender, bergamot;lotus, jasmine;musk, sandalwood, amber;ozonic;aquatic;lavender;citrus;floral
malbec-sport;o-boticario;men;2,72;299;2016;nutmeg, cardamom, lime, bergamot, mandarin orange, juniper;lavender, geranium, head space waterfall, sage;leather, patchouli, sandalwood, musk, amber, cedar, moss, vetiver, tonka bean;leather;fresh spicy;warm spicy;woody;aromatic
cyber-sex;filippo-sorcinelli;unisex;2,74;70;2021;juniper berries, pink grapefruit, mandarin orange, neroli;rosemary, spices, cyclamen, lavender, almond blossom;ambrette (musk mallow), vetiver, cedar, precious woods, vanilla, tonka bean;aromatic;fresh spicy;woody;citrus;musky
classique-pride-edition;jean-paul-gaultier;women;2,75;174;2022;yuzu, blood orange;neroli, orange blossom;musk, white wood;citrus;white floral;musky;woody;fresh spicy
oud-imperium;navitus-parfums;unisex;2,81;62;2019;apple, lavender, lemon;jasmine, vanilla, woody notes, lily-of-the-valley;agarwood (oud), amber, tonka bean, sandalwood, cypriol oil or nagarmotha, musk, guaiac wood;woody;vanilla;amber;powdery;oud
vetiver;franck-boclet;unisex;2,81;32;2018;bergamot, lemon, orange;vetiver, orange blossom, lily-of-the-valley, rose, jasmine;vetiver, musk, sandalwood, cedar, chive;citrus;white floral;woody;aromatic;musky
cristina-la-veneno-veneno-pa-tu-piel;ricardo-ramos-perfumes-de-autor;unisex;2,82;55;2020;tonic water, gin, berry fruits;vinyl, blood, saffron, turkish rose;madagascar vanilla, musk, galbanum, sandalwood;vinyl;mineral;metallic;aromatic;
quickie-and-coffee;filippo-sorcinelli;unisex;2,82;33;2024;coffee, honey, pine;animal notes, saffron, marine notes, jasmine;musk, ambrette, amber;musky;warm spicy;animalic;coffee;powdery
aventhis;in-the-box;men;2,83;65;2019;bergamot, pineapple, apple, black currant leaf;birch, patchouli, red berries, jasmine;oakmoss, musk, amber, vanilla;fruity;mossy;woody;earthy;citrus
212-heroes-collector-edition;carolina-herrera;men;2,84;31;2023;pear, cannabis, lemon zest, ginger;african geranium;leather, woodsy notes;leather;woody;aromatic;citrus;cannabis
snow-palace;brocard;women;2,88;33;2023;ozonic notes, aquatic notes, aldehydes;white musk, lily of the valley, bergamot;sandalwood, amber;ozonic;aldehydic;fresh;marine;musky
neroli-outrenoir-2024;guerlain;unisex;2,89;27;2024;petitgrain, bergamot, lemon, tangerine, grapefruit;tea, neroli, earthy notes, orange blossom, smoke;benzoin, vanilla, ambrette (musk mallow), myrrh, moss;citrus;green;white floral;fresh spicy;aromatic
oud-luxuria;navitus-parfums;unisex;2,91;69;2019;turkish rose, saffron, leather, red berries, orange, cinnamon;geranium, rose, jasmine, osmanthus;agarwood (oud), incense, musk, labdanum, amber;rose;fresh spicy;oud;warm spicy;amber
whispers-of-temptation;house-of-sillage;unisex;2,92;37;2021;black currant, plum, cardamom;saffron, rose petals, night blooming jasmine;suede, agarwood (oud), australian sandalwood;fruity;oud;woody;warm spicy;leather
spring-bloom;brocard;unisex;2,93;42;2021;citruses, green notes, watery notes, mint;peony, apple, rose, lily-of-the-valley, plum;musk, woody notes, amber;fresh;green;floral;rose;musky
laaurora;ricardo-ramos-perfumes-de-autor;unisex;2,93;29;2017;bergamot, cardamom, violet;turkish rose, atlas cedar, carnation;olibanum, gurjan balsam, cashmere musk;warm spicy;citrus;aromatic;rose;fresh spicy
desir-infini;navitus-parfums;unisex;2,94;34;2023;italian lemon, red fruits;geranium, saffron;woodsy notes, oud, leather, smoke, amber;woody;smoky;leather;oud;fresh spicy
cafe;franck-boclet;unisex;2,94;197;2019;coffee, bergamot, lemon;lily, rosemary, orange blossom, rose;moss, patchouli, sandalwood, vanilla, amber, cedar, vetiver;woody;warm spicy;earthy;white floral;coffee
1-million;paco-rabanne;men;2,95;149;2014;blood orange, grapefruit, mint;cinnamon, spices, rose;leather, amber, white woods, patchouli;citrus;warm spicy;cinnamon;leather;woody
erato;brocard;women;2,95;43;2017;coriander, lemon, orange;strawberry, violet, spun sugar, raspberry;vanilla, musk, sandalwood, palisander rosewood, tolu balsam, amber;sweet;powdery;fruity;vanilla;woody
new-look-2024;dior;unisex;2,96;395;2024;aldehydes;frankincense;amber;amber;aldehydic;fresh;fresh spicy;soapy
morayma;ricardo-ramos-perfumes-de-autor;women;2,96;26;2016;fig leaf, guava, coriander, grapefruit;gardenia, jasmine, magnolia, chamomile, narcissus;musk, hay, orris root;white floral;green;musky;herbal;lactonic
flowers;franck-boclet;unisex;2,96;56;2018;basil, lime, bergamot;lily-of-the-valley, neroli, tuberose, rose;ylang-ylang, musk, sandalwood;white floral;green;fresh;fresh spicy;citrus
popper-pop;filippo-sorcinelli;unisex;2,96;48;2021;sweet almond, red apple, mint, nashi pear;orchid, magnolia, davana, pitosporum;woody notes;fruity;almond;floral;sweet;nutty
kaorishiro;dilis-parfum;women;2,96;46;2013;lemon verbena, jasmine;hyacinth, musk, lemon;galbanum, cedar, moss;green;citrus;floral;musky;fresh spicy
lesnaa-malina-i-dusica-wild-raspberries-and-oregano;brocard;women;2,97;124;2021;raspberry, watery notes, wild strawberry;rose hip, violet;caramel, musk, oakmoss;fruity;sweet;caramel;rose;musky
roma-eau-de-toilette-rosa;laura-biagiotti;women;2,97;61;2017;wild berries, bergamot;rose, jasmine, peony, neroli;vanilla, musk, sandalwood;vanilla;floral;rose;powdery;fruity
campus;molinard;unisex;2,97;34;2022;pineapple, apple, lemon;geranium, lavender, sandalwood;patchouli, amberwood, musk;fruity;fresh spicy;aromatic;woody;lavender
veneno;miguel-matos;unisex;2,97;31;2018;narcissus, cypriol oil or nagarmotha, saffron, osmanthus;cade oil, civet, patchouli, lily-of-the-valley, amber, rose;peru balsam, costus, musk, ambrette (musk mallow), oakmoss, tonka bean;woody;musky;amber;earthy;balsamic
slightly-b-tch;filippo-sorcinelli;unisex;2,97;34;2021;leather, clementine, mint, bitter orange, green almond;ylang-ylang, artemisia, hawthorn, labdanum;cedar, pine tree;yellow floral;sweet;woody;aromatic;fresh spicy
egeo-on-you;o-boticario;unisex;2,99;136;2019;mint, eucalyptus, cardamom, pineapple, bergamot, peach, melon;fenugreek, woody notes, sage, green leaves, lavender, galbanum;milk, vetiver, benzoin, sandalwood, amber, musk;aromatic;woody;fresh spicy;green;warm spicy
uviolet;faberlic;women;2,99;97;2018;green leaves, pink grapefruit;flowers, magnolia, orchid, blackberry;white wood, amber, vanilla;floral;green;citrus;fruity;
little-mermaid;disney;women;3;26;2020;jasmine sambac;tuberose;almond;white floral;tuberose;almond;animalic;
wild-orange;fragrance-du-bois;unisex;3;28;2023;orange, mandarin orange, lemon, bergamot;orange blossom, lily of the valley, cypress;sandal, cedar, patchouli, vetiver;citrus;white floral;woody;sweet;fresh
vf-virginia-fonseca-honey;we-pink;women;3;29;2023;blood orange, peach, cardamom;rum, cognac, jasmine;vanilla, patchouli, sandalwood;woody;rum;warm spicy;citrus;sweet
chic-blossom;haute-fragrance-company-hfc;women;3,01;85;2017;indian jasmine, italian lemon, italian mandarin;jasmine sambac, amber;musk, benzoin, tobacco;white floral;musky;amber;powdery;citrus
synthetic-nature;frederic-malle;unisex;3,02;58;2024;black currant, lily of the valley, basil;jasmine, hyacinth, ylang ylang;patchouli;white floral;fruity;green;fresh spicy;floral
sweet-sin;vivamor-parfums;unisex;3,02;40;2023;peach, dried apricot;rum, benzoin, tonka bean;indonesian patchouli leaf, madagascar vanilla, white musk;fruity;sweet;warm spicy;patchouli;amber
tutti-twilly-d-hermes;hermes;women;3,03;615;2023;litchi;ginger flower;musk;fruity;warm spicy;fresh;tropical;musky
wood-flake;j-scent;unisex;3,03;38;2019;hinoki wood, cedar;vetiver, rose;guaiac wood, vanilla, musk, sandalwood;woody;powdery;vanilla;aromatic;musky
fiori-di-luna;bi-es;women;3,04;28;2014;mandarin orange, grapefruit;orange, peach;woody notes, musk;citrus;woody;musky;;
rives;ellis-brooklyn;unisex;3,06;174;2017;neroli, petitgrain;lavender, orange blossom;cashmere wood, white suede;white floral;citrus;lavender;aromatic;musky
gaultier-divine-le-parfum;jean-paul-gaultier;women;3,07;30;2024;solar notes, lily;frangipani, sea salt;amber, benzoin;amber;white floral;floral;aldehydic;tropical
shisha-lounge;ricardo-ramos-perfumes-de-autor;unisex;3,07;42;2019;anise, red fruits, hazelnut, neroli;tobacco, labdanum, oakmoss, patchouli;amber, madagascar vanilla, tonka bean, musk;sweet;amber;anis;soft spicy;tobacco
dragon;boadicea-the-victorious;unisex;3,07;30;2024;cinnamon, saffron;incense, magnolia, amber;cashmere musk, vanilla;amber;warm spicy;smoky;floral;balsamic
deep-dark-vanilla;ds-durga;unisex;3,08;160;2023;cabreuva, orchid, pink pepper;cypress, vanilla leaves, vine;dark patchouli, vanilla absolute, hay;green;vanilla;woody;fresh spicy;sweet
red-roses-cologne-2023;jo-malone-london;women;3,08;36;2023;lemon;red rose;honeycomb;rose;floral;;;
d-red-by-diesel;diesel;unisex;3,08;108;2024;blood grapefruit;lavender;sandalwood;lavender;citrus;woody;aromatic;fresh spicy
men-brahma;o-boticario;men;3,09;32;2023;eucalyptus, lemon, black pepper, bergamot;elemi, artemisia, sage, cardamom;amber, musk, cedar, patchouli, vetiver;aromatic;woody;fresh spicy;citrus;warm spicy
yucatan-secret;comptoir-sud-pacifique;unisex;3,09;44;2021;watermelon, bergamot;absinthe, lavender;sandalwood, cashmere wood, amber;ozonic;aquatic;woody;aromatic;lavender
vanilla-milk;ellis-brooklyn;women;3,09;662;2022;milk, frangipani, jasmine, peony;bourbon vanilla, madagascar vanilla, cacao pod;benzoin, amyris, sandalwood, musk;vanilla;lactonic;woody;powdery;warm spicy
vodka-pink;paris-elysees;women;3,09;44;2015;verbena, sage, chamomile;rose, white flowers, geranium;moss, patchouli, vetiver;earthy;rose;woody;mossy;white floral
champagne-royale;navitus-parfums;unisex;3,09;33;2021;ginger, champagne, sicilian lemon, italian mandarin;plum, iris, geranium, ceylon cinnamon, nutmeg, cypress;balsam fir, leather, virginia cedar, guaiac wood;warm spicy;citrus;woody;fresh spicy;aromatic
lamborghini;jequiti;men;3,09;32;2017;green notes, bergamot, pineapple, lime;cedar, apple, lily-of-the-valley;musk, vanilla, ambergris;woody;aromatic;warm spicy;patchouli;citrus
muna;lattafa-perfumes;unisex;3,1;30;2022;watermelon, strawberry;cyclamen, magnolia, peony, damask rose;musk, woody notes;floral;musky;fresh;rose;woody
sin;bi-es;women;3,1;42;2014;tangerine, red currant, green notes;rose, plum, orange, freesia;amber, patchouli, musk;fruity;citrus;sweet;amber;patchouli
e-l;zarkoperfume;unisex;3,1;311;2013;white flowers, pomegranate;sea notes, green notes, green tea;white musk, white woods;green;marine;aromatic;woody;white floral
phantom-legion;paco-rabanne;men;3,11;213;2022;lemon zest, lavender, lemon;patchouli, smoke, lavender, earthy notes, apple;vanilla, lavender, vetiver;citrus;earthy;woody;aromatic;patchouli
vanilla-sex;tom-ford;unisex;3,11;1539;2023;bitter almond;vanilla, floral notes;vanilla absolute, ultravanil?, tonka bean, sandalwood;vanilla;almond;sweet;nutty;powdery
commedia-dell-arte;brocard;women;3,11;44;2017;orange, lemon, bergamot;apricot, plum, honeysuckle, white flowers;honey, vanilla, musk;sweet;fruity;honey;powdery;vanilla
sea-sparkle;brocard;unisex;3,11;57;2021;sea water, citruses, ozonic notes;melon, jasmine, herbal notes;ambergris;ozonic;marine;aquatic;fresh;citrus
wednesday;house-of-sillage;unisex;3,11;28;2023;black pepper, elemi resin, saffron;turkish rose, rose, magnolia;patchouli, vetiver, agarwood;rose;patchouli;warm spicy;woody;fresh spicy
gourmand-bakhoor-dehn-al-oud;jousset-parfums;unisex;3,11;28;2022;caramel, vanilla, amaretto;almond, cacao, honey;agarwood (oud);almond;vanilla;caramel;sweet;oud
le-secret-du-charme;brocard;women;3,12;32;2019;pear, apple, lemon;cedar, sandalwood, lily-of-the-valley;musk, vanilla, amber;fruity;powdery;woody;fresh;sweet
mexx-spring-is-now-woman;mexx;women;3,12;40;2015;apple, grapefruit, black currant;rose, lily-of-the-valley;peach blossom, brazilian rosewood;floral;fruity;rose;fresh;citrus
whispers-of-strength;house-of-sillage;women;3,12;76;2017;boysenberry, frangipani;indian tuberose, egyptian jasmine;amber, vanilla;white floral;tuberose;floral;fruity;tropical
here-to-stay;naomi-campbell;women;3,12;89;2020;raspberry, black currant;rose, jasmine;musk, vanilla;fruity;rose;white floral;sweet;musky
opulentas;navitus-parfums;unisex;3,12;51;2020;apple, lemon, pink pepper;agarwood (oud), cypriol oil or nagarmotha, rose, patchouli;woody notes, amber, oakmoss;woody;oud;earthy;rose;fruity
h2eau-golden-citrus;clean;unisex;3,13;39;2023;mandarin orange, water notes, bergamot;neroli, orange blossom;musk;citrus;white floral;aquatic;fresh;fresh spicy
al-misk;ricardo-ramos-perfumes-de-autor;unisex;3,13;31;2017;copaiba balm, bergamot, absinthe;black pepper, magnolia, mace;guaiac wood, musk, gurjan balsam;woody;fresh spicy;musky;powdery;citrus
sweet-spoiled;haute-fragrance-company-hfc;women;3,13;148;2017;artemisia, rum;crithmum, osmanthus, labdanum;madagascar vanilla, benzoin, patchouli;vanilla;warm spicy;amber;aromatic;herbal
sirenis;les-liquides-imaginaires;unisex;3,14;216;2022;clary sage, bergamot, cardamom;genet, flowers, sandalwood;musk, moss, amber, vetiver, patchouli;musky;aromatic;floral;woody;powdery
poggia;tiziana-terenzi;unisex;3,14;116;2020;bergamot, lemon, peach, orange;ylang-ylang, rosemary, turkish rose, passionfruit, green apple;musk, ambergris, vanilla;citrus;aromatic;fresh spicy;sweet;musky
t-shelby;calaj;unisex;3,14;49;2022;pineapple, lemon, bergamot, grapefruit;ozonic notes, myrtle, cassia, orange blossom;seaweed, earthy notes, ambergris, oakmoss, melon, incense, cedar;ozonic;earthy;amber;aromatic;marine
strast;brocard;women;3,14;73;2016;raspberry, mandarin orange, orange, apple;litchi, rose, apricot, lily;musk, amber;fruity;rose;sweet;tropical;citrus
cashmere-kush;boy-smells;unisex;3,14;59;2022;rhubarb, pink pepper, aldehydes;orris, heliotrope, tulip;cashmere wood, ambroxan, musk, vetiver;musky;amber;woody;powdery;iris
my-sin;lanvin;women;3,14;70;2017;juicy apricot, pear;freesia, rose petals;musk, sandalwood;fruity;floral;powdery;sweet;rose
fortuna;electimuss;unisex;3,14;59;2020;saffron, grapefruit;lily-of-the-valley, rose, geranium;agarwood (oud), musk, patchouli, vetiver;rose;white floral;fresh spicy;oud;aromatic
egeo-choc-mint;o-boticario;unisex;3,15;110;2022;basil, mint, ginger, bergamot;sage, geranium, lavender, chocolate, davana, cinnamon;patchouli, cedar, cashmeran, tonka bean;aromatic;fresh spicy;green;warm spicy;woody
cherchez-la-femme;faberlic;women;3,15;182;2014;currant buds, bergamot, lemon, aldehydes, mandarin orange;freesia, peony, orchid, cardamom, cyclamen, rose;guaiac wood, sandalwood, white wood, ambergris;citrus;floral;aromatic;fresh;woody
rose-amber-cologne-2024;jo-malone-london;women;3,16;45;2024;clove, pink pepper;rose, ginger;amber, white musk, patchouli;rose;warm spicy;amber;musky;floral
urbane;vivamor-parfums;unisex;3,16;32;2022;grapefruit, pink pepper, brazilian orange, bergamot, lemon;cardamom, lavender, neroli, gin;amber, sandalwood, musk;citrus;aromatic;warm spicy;soft spicy;amber
silent;parfums-genty;women;3,16;31;2016;green notes, apple;peony, peach, rose;musk, cedar;green;fruity;fresh;floral;musky
goji;l-erbolario;unisex;3,16;58;2015;almond, italian lemon, calabrian bergamot;goji berries, iris, french rose, star anise;patchouli, vanila, vetiver;iris;powdery;fruity;earthy;woody
aventus-oil;creed;men;3,17;36;2021;pineapple, bergamot, black currant, apple;birch, patchouli, jasmine, rose;oakmoss, musk, ambergris, vanilla;woody;fruity;mossy;earthy;leather
more-is-more;wilgermain;unisex;3,17;30;2020;chinese osmanthus, clary sage, davana;rose water, broom, leather;haitian vetiver, ambrette (musk mallow), singapore patchouli;aromatic;floral;rose;yellow floral;soft spicy
cherry-lady-delicious;brocard;women;3,17;87;2017;milk, cacao, almond, cloves, lime;cherry, raspberry, jasmine;vanilla, amber;cherry;sweet;lactonic;cacao;almond
slytherin-parfum;house-of-sillage;unisex;3,17;40;2022;grapefruit, bergamot, cardamom;tobacco, black rose, clary sage;patchouli, australian sandalwood, musk;citrus;woody;warm spicy;patchouli;aromatic
whispers-of-time;house-of-sillage;women;3,17;47;2017;bergamot, tunisian neroli;orange blossom, ginger;cedar, musk;citrus;white floral;woody;fresh spicy;warm spicy
the-lawyer;zarkoperfume;unisex;3,17;112;2020;bergamot, mandarin orange, lemon;spices, dark chocolate, white orchid;resins, sandalwood, musk;citrus;amber;woody;warm spicy;powdery
bonne-etoile-baby-dior;dior;unisex;3,18;28;2023;green pear;wild rose;white musk;musky;powdery;;;
habit-rouge-l-instinct;guerlain;men;3,18;247;2022;green notes, grapefruit, bergamot;cannabis, mate, red rose;leather, patchouli, vanilla;green;citrus;aromatic;cannabis;fresh spicy
neroli-portofino-parfum;tom-ford;unisex;3,18;101;2024;neroli, bergamot, blood orange, lemon;tunisian neroli, clary sage, jasmine sambac, pitosporum;sylkolide, musk, amber;citrus;musky;white floral;amber;aromatic
oceanica;faberlic;women;3,18;39;2017;cucumber, sea notes, black currant leaf;water lily, violet, cyclamen;musk;aquatic;ozonic;marine;floral;green
life-is-now-for-him;mexx;men;3,18;39;2015;cardamom, bergamot, pineapple, apple;sea notes, lavender, freesia;sandalwood, patchouli;aromatic;warm spicy;woody;fruity;marine
maroon;max-philip;women;3,18;28;2019;black currant, bergamot;iris, rose, jasmine;patchouli, caramel, leather, white musk;woody;caramel;iris;patchouli;powdery
pineapple;max-philip;unisex;3,18;51;2022;pineapple, pineapple leaf;coconut, patchouli, orange blossom;vanilla, sandalwood;sweet;woody;vanilla;coconut;fruity
xi-an;guerlain;unisex;3,19;31;2021;bamboo;floral notes;sandalwood;woody;floral;powdery;warm spicy;
sorbet-jolie;faberlic;women;3,19;93;2017;frosted berries, green notes;pear ice cream, violet, magnolia;musk, sandalwood, ambrette (musk mallow), cedar;fruity;musky;lactonic;powdery;green
citronica;faberlic;women;3,19;54;2017;bergamot, grapefruit, black currant blossom;bergamot, grapefruit blossom;oakmoss, patchouli, musk, sandalwood;citrus;mossy;fresh spicy;woody;earthy
magda;lubin;women;3,19;86;2021;cherry, blackcurrant syrup, pomegranate, mandarin orange;tunisian orange blossom, indian tuberose, gardenia, cinnamon;amaretto, vanilla, sandalwood, peru balsam;fruity;white floral;woody;almond;sweet
amabile;xerjoff;unisex;3,2;384;2020;green apple, amalfi lemon, calabrian bergamot, orange blossom;guatemalan cardamom, pink pepper, jasmine;mexican vanilla, atlas cedar, white musk, patchouli;citrus;warm spicy;woody;aromatic;white floral
faberlic-by-valentin-yudashkin-rose;faberlic;women;3,2;195;2017;watery notes, water lily;lily-of-the-valley, peony, cyclamen, pear;musk;fresh;floral;aquatic;white floral;musky
velvet-amber;fragrance-du-bois;unisex;3,2;45;2020;geranium, lemon, cardamom, bergamot;leather, cypriol oil or nagarmotha, saffron, rose;cypriol oil or nagarmotha, agarwood (oud), patchouli, amber, sandalwood, musk, vanilla;woody;leather;warm spicy;earthy;fresh spicy
delicious-kisses;haute-fragrance-company-hfc;women;3,2;139;2017;raspberry, violet, bulgarian rose;papyrus, iris, sandalwood;patchouli, cedar, ambrette (musk mallow), musk;woody;powdery;fruity;violet;patchouli
paper;commodity;men;3,21;33;2013;iso e super;amber;sandalwood;woody;amber;musky;powdery;
lili-fantasy;juliette-has-a-gun;women;3,21;757;2021;bubble gum;tuberose, jasmine;ambroxan, amber;white floral;amber;tuberose;musky;animalic
water-ivy;brocard;women;3,21;53;2021;watery notes, bergamot, peach;ivy, jasmine, bellflower, peony;white musk, moss;fresh;floral;green;aquatic;musky
collapse-of-hedonism-krakh-gedonizma;khaikin;unisex;3,21;43;2023;cognac, smoke, metallic notes;dark chocolate, leather, rose, smoke;dried plum, immortelle, vetiver, texas cedar, ambergris, ash;woody;sweet;warm spicy;smoky;fruity
moscow-waltz-moskovskij-val-s;ladanika;unisex;3,21;33;2018;raspberry, violet, freesia;damask rose, rose hip, lilac;white musk, iris, patchouli;rose;floral;powdery;fruity;violet
ume;euphorium-brooklyn;unisex;3,21;29;2018;plum, plum blossom, green tea, apricot, anise;oakmoss, yuzu, hinoki wood, incense, cedar;snow, earthy notes;fruity;fresh;woody;earthy;floral
enjoy;franck-boclet;women;3,21;56;2021;bergamot, lemon, orange;nutmeg, rose, geranium, pepper, violet, cinnamon, jasmine;incense, ambroxan, white musk;fresh spicy;citrus;rose;aromatic;warm spicy
cocaine;franck-boclet;unisex;3,21;2800;2017;caramel, tobacco, bitter orange, red berries;tuberose, lily, orchid;monoi oil, vanilla, patchouli;white floral;tuberose;sweet;caramel;tropical
plumes;ds-durga;unisex;3,22;49;2023;laurels, watery notes, coconut;frangipani, tuberose, jasmine, vine;vetyver, amyris, musk;aromatic;white floral;woody;floral;tuberose
le-male-xmas-limited-edition;jean-paul-gaultier;men;3,22;83;2023;mint;lavender;vanilla;lavender;vanilla;aromatic;fresh spicy;green
prada-paradoxe-virtual-flower;prada;women;3,22;36;2024;bergamot;jasmine, neroli;musk, ambrette;white floral;musky;citrus;floral;powdery
gisada-donna;gisada;women;3,22;54;2016;cotton candy, iris, violet, sicilian bergamot;patchouli, jasmine sambac, benzoin, white peach blossom;musk, sandalwood, coffee, tuberose;powdery;woody;warm spicy;musky;white floral
mercedes-benz-for-her-fanciful-edition;mercedes-benz;women;3,22;27;2023;green mandarin, lemon;freesia, jasmine, rose;incense, white musk, frangipani, amberwood;floral;amber;musky;white floral;citrus
perle-imperiale;guerlain;unisex;3,23;40;2024;bergamot;fig, powdery notes;sandalwood, leather, myrrh;powdery;woody;fruity;leather;citrus
banho-de-sorte;o-boticario;women;3,23;75;2020;italian lemon, cardamom, pink pepper, ginger, mandarin orange;clove leaf, geranium, violet;moss, patchouli, virginian cedar, sandalwood, amber;warm spicy;woody;citrus;aromatic;mossy
scent-of-kiss-poplove;armand-basi;women;3,23;31;2021;pear, watermelon, bergamot;jasmine, white lily;musk, white wood, cashmeran;white floral;aquatic;fruity;ozonic;citrus
lotus-oud;lotus;unisex;3,23;26;2016;agarwood (oud), palisander rosewood, cardamom;vetiver, sandalwood;tonka bean, amber;woody;amber;warm spicy;aromatic;oud
pm;fragrance-du-bois;unisex;3,23;102;2022;indian tuberose, floral notes, juniper berries, cardamom, lemon;leather, cedar, orris root, indonesian patchouli leaf;labdanum, woody notes, benzoin, amber;woody;amber;leather;aromatic;animalic
english-dahlia-fragrance-mist;yardley;women;3,23;30;2017;green notes, citruses, apple, neroli, floral notes;rose, peony, dahlia;patchouli, cedar, musk;floral;woody;fresh;green;patchouli
gin-flower;solstice-scents;unisex;3,23;39;2018;juniper berries, lime, citron;black elder, osmanthus, honey, vanilla, apricot, pear;sandalwood;citrus;floral;sweet;aromatic;woody
to-be-goodvibes-for-him;police;men;3,23;26;2021;clary sage, bergamot, black pepper;jasmine, juniper, magnolia;amberwood, tobacco, vetiver;aromatic;fresh spicy;citrus;white floral;soft spicy
tank-custom-for-him;replay;men;3,23;30;2019;elemi, ginger, bergamot, yuzu, cardamom;anise, plum, vetiver, lavender, patchouli, wild jasmine;tonka bean, musk, sandalwood, amber;aromatic;warm spicy;woody;citrus;sweet
miel-extase;navitus-parfums;unisex;3,23;156;2023;honey, dried fruits, apricot;ginger, violet, rum, saffron;toffee, madagascar vanilla, tonka bean, dark chocolate, caramel;warm spicy;sweet;violet;powdery;honey
oud-mafia;morph;unisex;3,23;26;2023;saffron, nutmeg, thyme;oud, incense, gurjan balsam, cistus incanus;orcanox?, patchouli, vetiver;oud;warm spicy;woody;amber;smoky
santa-casa;filippo-sorcinelli;unisex;3,23;26;2024;incense, orange, bergamot;sea notes, tobacco, french rose;musk, benzoin, vanilla, sandalwood, ambrette, amber;marine;amber;tobacco;aromatic;smoky
absolute-woman;bruno-banani;women;3,23;236;2015;litchi, pink pepper, pink grapefruit, blackberry, bergamot;rose, marigold, jasmine, orange blossom;cedar, amber, vanilla, moss, patchouli, musk;fruity;citrus;sweet;rose;woody
outrageous-limited-edition-2017;frederic-malle;unisex;3,24;63;2017;green apple, grapefruit, lime, cinnamon, mint;neroli, orange blossom;aldehydes, musk, ambroxan, cedar;citrus;musky;fresh;white floral;aldehydic
bleu-abysse;les-parfums-de-rosine;unisex;3,24;42;2019;elemi, bergamot, cassis;mineral notes, rose;algae, vetiver, patchouli, agarwood (oud), incense;aromatic;mineral;rose;woody;citrus
amo-ferragamo-oriental-wood;salvatore-ferragamo;women;3,24;50;2023;guatemalan cardamom, apple, lemon;rose, saffron, jasmine;resins, musk, vanilla;warm spicy;rose;amber;musky;vanilla
