Perfume;Brand;Gender;Rating Value;Rating Count;Year;Top;Middle;Base;mainaccord1;mainaccord2;mainaccord3;mainaccord4;mainaccord5
man-silver;zara;men;3,9;50;2019;neroli;pepper;sandalwood;fresh spicy;woody;warm spicy;citrus;white floral
lilas-japonica-into-the-floral;zara;women;3,9;62;2023;pear;lilac;sandalwood;floral;fresh;fruity;sweet;green
zara-night-pour-homme-ii-winter;zara;men;3,9;40;2020;bergamot;lavender;vanilla;vanilla;lavender;powdery;aromatic;fresh spicy
cherry-smoothie;zara;women;3,9;1275;2022;cherry, almond, plum;peru balsam, heliotrope, hawthorn;vanilla, tonka bean;sweet;cherry;almond;fruity;vanilla
wood-boards-studio-in-melbourne;zara;women;3,9;58;2017;bergamot, peach, apple;tiare flower, ginger;cedar, musk, amber;citrus;fruity;white floral;woody;fresh spicy
no-4-amber-fig-cashmere;zara;women;3,9;108;2021;orange, pink pepper;fig tree, white woods;ambroxan, ambergris, patchouli;amber;woody;musky;citrus;animalic
summer-9-0;zara;men;3,9;42;2021;orange, mandarin orange, lemon;cardamom, orris, vetiver;graperfuit, petitgrain, amber;citrus;aromatic;warm spicy;iris;earthy
1920-the-origin-eau-de-toilette;tous;men;3,9;72;2020;grapefruit, clary sage, cardamom;water notes, geranium, cinnamon;guaiac wood, vetiver, amber;aromatic;citrus;fresh spicy;aquatic;warm spicy
dance-magnetic;shakira;women;3,9;49;2019;nectarine, italian lemon;orange blossom, peony;tonka bean, sandalwood, musk;fresh;white floral;sweet;citrus;floral
ever-bloom-sakura-art-edition;shiseido;women;3,9;225;2018;sour cherry, cyclamen, bergamot;japanese cherry blossom, orange blossom, pear, bulgarian rose, lily-of-the-valley;vanilla, white musk, iso e super, cedar;floral;sweet;fresh;cherry;fruity
super-playboy-for-her;playboy;women;3,9;165;2013;mandarin orange, blue margarita;strelitzia, freesia, ground cherry;amber, sandalwood, musk;floral;citrus;tropical;powdery;amber
giordani-gold-original;oriflame;women;3,9;292;2016;orange, italian mandarin, lemon;white lily, orange blossom, jasmine;moss, patchouli, white musk;white floral;citrus;mossy;earthy;woody
my-little-garden;oriflame;women;3,9;171;2017;basil, apple blossom, neroli;lily-of-the-valley, jasmine, hawthorn;musk, sandalwood, cedar;white floral;fresh spicy;green;fresh;aromatic
exotic-blossom;michael-kors;women;3,9;165;2017;mango;rose petals;musk;tropical;fruity;rose;sweet;musky
kensie;kensie;women;3,9;155;2016;peach, mandarin orange, green notes;jasmine, orange blossom, violet, rose, cyclamen, oakmoss;tonka bean, vanilla, musk, amber, sandalwood, cedar;powdery;vanilla;woody;sweet;white floral
lavender-chai;daniel-barros;unisex;3,9;29;2016;ginger, black tea, orange, cardamom, lemon;lavender, cloves, cinnamon, geranium;tonka bean, honey, musk, oakmoss;warm spicy;lavender;cinnamon;aromatic;sweet
punk-motel;coreterno;unisex;3,9;217;2019;white rose, bergamot;salicylic acid;vanilla, musk, ambrette (musk mallow);musky;vanilla;rose;powdery;floral
paris-bangalore;carven;women;3,9;141;2017;saffron, clove;tolu balsam, vanilla;red sandalwood, amber, tonka bean;amber;warm spicy;powdery;vanilla;woody
knot;bottega-veneta;women;3,9;1851;2014;neroli, orange blossom, clementine, lime, mandarin orange;lavender, peony, white rose;musk, tonka bean;citrus;white floral;floral;sweet;fresh
glam;bebe;women;3,9;70;2015;blackberry, boysenberry, mandarin orange, bergamot;violet, iris, lily-of-the-valley, freesia;sugar, musk, woody notes;fruity;sweet;powdery;violet;musky
power-of-seduction;antonio-banderas;men;3,9;440;2018;apple, bergamot;lavender, artemisia, clary sage;woody notes, moss, tonka bean, amber, patchouli;aromatic;woody;fresh spicy;citrus;lavender
united-dreams-men-be-strong;benetton;men;3,9;256;2015;lime, grapefruit, mandarin orange;ginger, pink pepper, jasmine, nutmeg;cedar, incense, labdanum;citrus;warm spicy;woody;amber;fresh spicy
ghost;brocard;women;3,9;41;2023;apple, neroli, mandarin orange;apple blossom, gardenia, cherry, aquatic notes;musk, amber;fruity;floral;fresh;white floral;musky
tartufo;brocard;unisex;3,9;396;2022;ginger;palisander rosewood, jasmine sambac, violet;balsamic notes, white sandalwood, animal notes, virginian cedar;woody;warm spicy;powdery;animalic;
no-9-passion-tropical;victorio-lucchino;women;3,9;41;2017;clementine, orange, bergamot;kiwi, mango, passion flower;sandalwood, musk, cedar;fruity;citrus;sweet;tropical;floral
matcha-green-tea;tesori-d-oriente;unisex;3,9;210;2019;bergamot, cardamom, pepper, bitter orange, mandarin orange;green tea, matcha tea, neroli, jasmine, lily-of-the-valley, rose;musk, cedar, amber, sandalwood;citrus;green;fresh spicy;powdery;white floral
flux-de-fleur;areej-le-dore;unisex;3,9;68;2017;olibanum, pink grapefruit;tuberose, frangipani, jasmine sambac, cambodian oud, agarwood (oud), amber;castoreum, tolu balsam, henna, natural musk, benzoin, blue lotus, honeysuckle, vetiver;amber;white floral;floral;animalic;woody
quatre-iconic;boucheron;women;3,9;417;2022;ginger, pink pepper, mandarin orange;tuberose, peru balsam, black currant;amber, patchouli, vetiver;amber;tuberose;balsamic;woody;white floral
tubereuse-de-madras;boucheron;unisex;3,9;335;2017;orange blossom, passionfruit, violet leaf;tuberose, frangipani, ylang-ylang;tuberose, vanilla, sandalwood;white floral;tuberose;tropical;sweet;floral
lait-concentre;chabaud-maison-de-parfum;women;3,9;883;2014;milk;coconut;caramel;lactonic;caramel;sweet;coconut;
tudor;coquillete;unisex;3,9;71;2014;geranium, palisander rosewood, lily-of-the-valley;benzoin, amber, soil tincture;palisander rosewood, benzoin, labdanum, ambergris, madagascar vanilla;amber;fresh spicy;aromatic;woody;warm spicy
cuba-prestige-legacy;cuba-paris;unisex;3,9;29;2019;grapefruit, lemon, bergamot, black currant;lavender, jasmine, rosemary, cardamom;cedar, oakmoss, vetiver, amber, labdanum;citrus;aromatic;woody;fresh spicy;lavender
annicke-6;eight-bob;women;3,9;97;2019;carnation, sichuan pepper, bergamot;cinnamon, rose oil, amber;sandalwood, benzoin, labdanum;warm spicy;cinnamon;amber;floral;fresh spicy
sci-fi;ellis-brooklyn;unisex;3,9;589;2017;bitter orange, bergamot;green tea, pink freesia;vanilla bean, cashmere wood;citrus;vanilla;green;fresh;woody
camina-provence;fiilit;unisex;3,9;30;2019;lavender, fig, black currant leaf, basil;iris, mimosa, may rose;pine, oak, cedar, cypress;woody;aromatic;lavender;fresh spicy;green
patchouli-argent;fragrance-du-bois;unisex;3,9;59;2016;bergamot;coriander, rose, jasmine;patchouli, woody notes, incense, musk;woody;patchouli;aromatic;citrus;rose
king;fragrance-world;unisex;3,9;39;2022;rhubarb, coffee, cardamom, mandarin orange;mango, ginger, amber;peach, vetiver, ambergris;fruity;tropical;sweet;aromatic;warm spicy
guess-seductive-kiss;guess;women;3,9;40;2020;grapefruit, tangerine;peach blossom, jasmine, wildflowers;cedar, musk, amber;citrus;floral;woody;fruity;fresh
madame-gres;gres;women;3,9;676;2013;pineapple, cardamom, grapefruit;magnolia, peony, freesia;patchouli, sandalwood, vanilla, leather;floral;woody;warm spicy;sweet;fruity
lumiere-rose;gres;women;3,9;236;2013;orange blossom;rose, pink pepper;licorice, musk;soft spicy;rose;musky;sweet;white floral
empire-vip;hinode;men;3,9;52;2016;champagne, aldehydes, orange, black pepper;black violet, pineapple, fir, ac cia, lavender, bamboo;cashmere wood, amber, papyrus;aldehydic;fresh;woody;violet;sweet
l-arrivee;house-of-matriarch;unisex;3,9;39;2017;jasmine, marigold, mimosa, magnolia, bergamot;olibanum, jasmine, palisander rosewood, broom, tiare flower, neroli;sandalwood, honey, vanilla;woody;sweet;amber;floral;powdery
l-amour-rose;anna-sui;women;3,9;86;2016;macarons, pistachio, mandarin orange, neroli;cherry blossom, mimosa;cotton candy, musk;sweet;floral;caramel;powdery;
